"Step","non_det_DDQN_9_100k - total_reward","non_det_DDQN_9_100k - total_reward__MIN","non_det_DDQN_9_100k - total_reward__MAX"
"8938","-1","-1","-1"
"8954","0","0","0"
"8958","1","1","1"
"8985","-2","-2","-2"
"8988","-1","-1","-1"
"8990","-2","-2","-2"
"8991","-2","-2","-2"
"9012","-2","-2","-2"
"9025","-2","-2","-2"
"9040","5","5","5"
"9063","-2","-2","-2"
"9071","-1","-1","-1"
"9077","-2","-2","-2"
"9087","1","1","1"
"9116","-2","-2","-2"
"9130","-2","-2","-2"
"9140","0","0","0"
"9142","17","17","17"
"9148","-1","-1","-1"
"9161","1","1","1"
"9181","-2","-2","-2"
"9229","3","3","3"
"9242","2","2","2"
"9244","16","16","16"
"9251","-2","-2","-2"
"9260","-2","-2","-2"
"9273","1","1","1"
"9285","-1","-1","-1"
"9290","-2","-2","-2"
"9296","0","0","0"
"9298","2","2","2"
"9301","-2","-2","-2"
"9313","0","0","0"
"9322","-1","-1","-1"
"9332","8","8","8"
"9341","5","5","5"
"9359","2","2","2"
"9364","8","8","8"
"9381","-1","-1","-1"
"9384","1","1","1"
"9397","-2","-2","-2"
"9428","-2","-2","-2"
"9469","-2","-2","-2"
"9471","-2","-2","-2"
"9473","-2","-2","-2"
"9490","-1","-1","-1"
"9492","0","0","0"
"9502","-1","-1","-1"
"9506","2","2","2"
"9520","-2","-2","-2"
"9523","-1","-1","-1"
"9532","2","2","2"
"9534","-2","-2","-2"
"9535","-1","-1","-1"
"9541","-2","-2","-2"
"9547","-1","-1","-1"
"9561","1","1","1"
"9566","-2","-2","-2"
"9571","-2","-2","-2"
"9611","-2","-2","-2"
"9616","0","0","0"
"9620","-2","-2","-2"
"9621","0","0","0"
"9628","0","0","0"
"9651","0","0","0"
"9660","-1","-1","-1"
"9668","6","6","6"
"9670","-1","-1","-1"
"9686","-1","-1","-1"
"9693","-2","-2","-2"
"9744","-1","-1","-1"
"9756","-2","-2","-2"
"9757","-1","-1","-1"
"9763","-2","-2","-2"
"9776","1","1","1"
"9777","-2","-2","-2"
"9781","-2","-2","-2"
"9788","-2","-2","-2"
"9792","-1","-1","-1"
"9793","1","1","1"
"9794","-2","-2","-2"
"9806","9","9","9"
"9810","1","1","1"
"9815","-2","-2","-2"
"9830","-1","-1","-1"
"9857","-2","-2","-2"
"9859","1","1","1"
"9875","-2","-2","-2"
"9883","-2","-2","-2"
"9888","-2","-2","-2"
"9898","-2","-2","-2"
"9926","0","0","0"
"9946","-1","-1","-1"
"9979","-2","-2","-2"
"9995","-2","-2","-2"
"9998","9","9","9"
"10032","-2","-2","-2"
"10038","-2","-2","-2"
"10064","-1","-1","-1"
"10075","-2","-2","-2"
"10096","0","0","0"
"10114","-1","-1","-1"
"10115","-1","-1","-1"
"10121","-1","-1","-1"
"10126","-2","-2","-2"
"10130","-2","-2","-2"
"10134","0","0","0"
"10153","1","1","1"
"10154","-1","-1","-1"
"10160","1","1","1"
"10175","-2","-2","-2"
"10176","0","0","0"
"10182","-2","-2","-2"
"10191","0","0","0"
"10216","-2","-2","-2"
"10273","1","1","1"
"10286","1","1","1"
"10297","-2","-2","-2"
"10299","-1","-1","-1"
"10303","2","2","2"
"10306","-1","-1","-1"
"10309","-1","-1","-1"
"10318","-1","-1","-1"
"10321","2","2","2"
"10327","-1","-1","-1"
"10332","-2","-2","-2"
"10339","-1","-1","-1"
"10353","-1","-1","-1"
"10356","1","1","1"
"10363","6","6","6"
"10381","-1","-1","-1"
"10386","2","2","2"
"10416","-2","-2","-2"
"10418","-2","-2","-2"
"10422","-2","-2","-2"
"10427","-2","-2","-2"
"10439","2","2","2"
"10449","-2","-2","-2"
"10457","0","0","0"
"10463","-1","-1","-1"
"10466","0","0","0"
"10467","-2","-2","-2"
"10473","-2","-2","-2"
"10475","-2","-2","-2"
"10498","0","0","0"
"10512","-2","-2","-2"
"10520","4","4","4"
"10528","0","0","0"
"10535","-2","-2","-2"
"10537","-2","-2","-2"
"10551","-1","-1","-1"
