"Step","non_det_DDQN_9_100k - win","non_det_DDQN_9_100k - win__MIN","non_det_DDQN_9_100k - win__MAX"
"9615","0","0","0"
"9634","0","0","0"
"9637","0","0","0"
"9638","0","0","0"
"9657","0","0","0"
"9675","0","0","0"
"9678","0","0","0"
"9679","0","0","0"
"9681","0","0","0"
"9696","0","0","0"
"9703","0","0","0"
"9716","0","0","0"
"9726","0","0","0"
"9739","0","0","0"
"9750","0","0","0"
"9752","0","0","0"
"9769","0","0","0"
"9779","0","0","0"
"9782","0","0","0"
"9793","0","0","0"
"9794","0","0","0"
"9805","0","0","0"
"9811","0","0","0"
"9816","0","0","0"
"9824","0","0","0"
"9841","0","0","0"
"9863","0","0","0"
"9864","0","0","0"
"9869","0","0","0"
"9882","0","0","0"
"9899","0","0","0"
"9902","0","0","0"
"9905","0","0","0"
"9914","0","0","0"
"9917","0","0","0"
"9920","0","0","0"
"9928","0","0","0"
"9958","0","0","0"
"9962","0","0","0"
"9974","0","0","0"
"9976","0","0","0"
"9986","0","0","0"
"9996","0","0","0"
"10003","0","0","0"
"10006","0","0","0"
"10007","0","0","0"
"10011","0","0","0"
"10016","0","0","0"
"10023","0","0","0"
"10036","0","0","0"
"10038","0","0","0"
"10044","0","0","0"
"10048","0","0","0"
"10055","0","0","0"
"10074","0","0","0"
"10078","0","0","0"
"10080","0","0","0"
"10095","0","0","0"
"10145","0","0","0"
"10165","0","0","0"
"10183","0","0","0"
"10195","0","0","0"
"10199","0","0","0"
"10212","0","0","0"
"10213","0","0","0"
"10223","0","0","0"
"10224","0","0","0"
"10234","0","0","0"
"10248","0","0","0"
"10259","0","0","0"
"10264","0","0","0"
"10273","0","0","0"
"10278","0","0","0"
"10288","0","0","0"
"10304","0","0","0"
"10310","0","0","0"
"10318","0","0","0"
"10330","0","0","0"
"10343","0","0","0"
"10345","0","0","0"
"10361","0","0","0"
"10363","0","0","0"
"10374","0","0","0"
"10386","0","0","0"
"10393","0","0","0"
"10407","0","0","0"
"10414","0","0","0"
"10416","0","0","0"
"10420","0","0","0"
"10428","0","0","0"
"10440","0","0","0"
"10445","0","0","0"
"10469","0","0","0"
"10476","0","0","0"
"10531","0","0","0"
"10539","0","0","0"
"10555","0","0","0"
"10570","0","0","0"
"10578","0","0","0"
"10580","0","0","0"
"10591","0","0","0"
"10592","0","0","0"
"10611","0","0","0"
"10619","0","0","0"
"10645","0","0","0"
"10660","0","0","0"
"10662","0","0","0"
"10682","0","0","0"
"10708","0","0","0"
"10713","0","0","0"
"10715","0","0","0"
"10720","0","0","0"
"10734","0","0","0"
"10736","0","0","0"
"10741","0","0","0"
"10743","0","0","0"
"10757","0","0","0"
"10782","0","0","0"
"10797","0","0","0"
"10809","0","0","0"
"10811","0","0","0"
"10817","0","0","0"
"10824","0","0","0"
"10832","0","0","0"
"10833","0","0","0"
"10842","0","0","0"
"10854","0","0","0"
"10862","0","0","0"
"10877","0","0","0"
"10886","0","0","0"
"10890","0","0","0"
"10891","0","0","0"
"10892","0","0","0"
"10900","0","0","0"
"10904","0","0","0"
"10912","0","0","0"
"10931","0","0","0"
"10933","0","0","0"
"10943","0","0","0"
"10962","0","0","0"
"10971","0","0","0"
"10976","0","0","0"
"10978","0","0","0"
"10990","0","0","0"
"11020","0","0","0"
"11021","0","0","0"
"11037","0","0","0"
"11049","0","0","0"
"11050","0","0","0"
"11061","0","0","0"
"11076","0","0","0"
"11084","0","0","0"
"11106","0","0","0"
"11121","0","0","0"
"11141","0","0","0"
"11143","0","0","0"
"11150","0","0","0"
"11153","0","0","0"
"11180","0","0","0"
"11186","0","0","0"
"11204","0","0","0"
"11222","0","0","0"
"11244","0","0","0"
"11252","0","0","0"
"11253","0","0","0"
"11268","0","0","0"
"11283","0","0","0"
"11289","0","0","0"
"11322","0","0","0"
"11324","0","0","0"
"11326","0","0","0"
"11331","0","0","0"
"11333","0","0","0"
"11334","0","0","0"
"11342","0","0","0"
"11345","0","0","0"
"11346","0","0","0"
"11347","0","0","0"
"11352","0","0","0"
"11357","0","0","0"
"11361","0","0","0"
"11379","0","0","0"
"11385","0","0","0"
"11409","0","0","0"
"11416","0","0","0"
"11420","0","0","0"
"11430","0","0","0"
"11436","0","0","0"
"11441","0","0","0"
"11442","0","0","0"
"11448","0","0","0"
"11455","0","0","0"
"11459","0","0","0"
"11466","0","0","0"
"11491","0","0","0"
"11504","0","0","0"
"11523","0","0","0"
"11557","0","0","0"
"11571","0","0","0"
"11577","0","0","0"
"11599","0","0","0"
"11606","0","0","0"
"11609","0","0","0"
"11620","0","0","0"
"11621","0","0","0"
"11623","0","0","0"
"11634","0","0","0"
"11663","0","0","0"
"11680","0","0","0"
"11689","0","0","0"
"11694","0","0","0"
"11704","0","0","0"
"11710","0","0","0"
"11717","0","0","0"
"11726","0","0","0"
"11731","0","0","0"
"11744","0","0","0"
"11746","0","0","0"
"11751","0","0","0"
"11756","0","0","0"
"11764","0","0","0"
"11776","0","0","0"
"11780","0","0","0"
"11785","0","0","0"
"11795","0","0","0"
"11806","0","0","0"
"11812","0","0","0"
"11819","0","0","0"
"11826","0","0","0"
"11856","0","0","0"
"11858","0","0","0"
"11860","0","0","0"
"11862","0","0","0"
"11903","0","0","0"
"11915","0","0","0"
"11917","0","0","0"
"11920","0","0","0"
"11926","0","0","0"
"11941","0","0","0"
"11942","0","0","0"
"11959","0","0","0"
"11961","0","0","0"
"11974","0","0","0"
"11984","0","0","0"
"11992","0","0","0"
"12041","0","0","0"
"12048","0","0","0"
"12069","0","0","0"
"12073","0","0","0"
"12085","0","0","0"
"12087","0","0","0"
"12104","0","0","0"
"12108","0","0","0"
"12126","0","0","0"
"12135","0","0","0"
"12138","0","0","0"
"12143","0","0","0"
"12148","0","0","0"
"12149","0","0","0"
"12151","0","0","0"
"12153","0","0","0"
"12175","0","0","0"
"12179","0","0","0"
"12182","0","0","0"
"12183","0","0","0"
"12186","0","0","0"
"12190","0","0","0"
"12202","0","0","0"
"12203","0","0","0"
"12211","0","0","0"
"12233","0","0","0"
