"Step","DQN_run_1747564920 - total_reward","DQN_run_1747564920 - total_reward__MIN","DQN_run_1747564920 - total_reward__MAX"
"4737","-3","-3","-3"
"4738","-2","-2","-2"
"4742","-2","-2","-2"
"4754","-3","-3","-3"
"4760","-1","-1","-1"
"4771","0","0","0"
"4780","-3","-3","-3"
"4789","-2","-2","-2"
"4791","-2","-2","-2"
"4799","1","1","1"
"4808","4","4","4"
"4811","4","4","4"
"4822","-3","-3","-3"
"4823","-1","-1","-1"
"4825","-1","-1","-1"
"4829","2","2","2"
"4830","-3","-3","-3"
"4832","3","3","3"
"4842","0","0","0"
"4856","-2","-2","-2"
"4865","-2","-2","-2"
"4878","0","0","0"
"4880","-3","-3","-3"
"4886","1","1","1"
"4887","0","0","0"
"4900","-1","-1","-1"
"4917","-3","-3","-3"
"4923","-2","-2","-2"
"4933","-1","-1","-1"
"4937","1","1","1"
"4938","-2","-2","-2"
"4948","-2","-2","-2"
"4949","-2","-2","-2"
"4950","1","1","1"
"4956","-2","-2","-2"
"4958","-1","-1","-1"
"4960","-2","-2","-2"
"4967","-2","-2","-2"
"4978","0","0","0"
"4982","5","5","5"
"4984","4","4","4"
"4985","7","7","7"
"4987","6","6","6"
"4992","-2","-2","-2"
"5009","0","0","0"
"5010","1","1","1"
"5020","5","5","5"
"5030","0","0","0"
"5031","-1","-1","-1"
"5039","-2","-2","-2"
"5044","-3","-3","-3"
"5045","-2","-2","-2"
"5048","-2","-2","-2"
"5053","-2","-2","-2"
"5054","-2","-2","-2"
"5060","-1","-1","-1"
"5063","4","4","4"
"5067","2","2","2"
"5071","-3","-3","-3"
"5073","-2","-2","-2"
"5074","2","2","2"
"5077","-3","-3","-3"
"5085","-3","-3","-3"
"5090","-2","-2","-2"
"5094","-3","-3","-3"
"5095","-1","-1","-1"
"5105","1","1","1"
"5116","0","0","0"
"5126","-1","-1","-1"
"5127","-3","-3","-3"
"5133","-2","-2","-2"
"5135","-1","-1","-1"
"5140","0","0","0"
"5147","-2","-2","-2"
"5149","2","2","2"
"5150","-2","-2","-2"
"5152","-3","-3","-3"
"5153","-2","-2","-2"
"5155","1","1","1"
"5157","-3","-3","-3"
"5170","2","2","2"
"5177","-1","-1","-1"
"5183","-2","-2","-2"
"5184","-1","-1","-1"
"5188","-3","-3","-3"
"5190","-3","-3","-3"
"5201","3","3","3"
"5204","0","0","0"
"5210","-2","-2","-2"
"5214","-1","-1","-1"
"5216","-2","-2","-2"
"5222","-2","-2","-2"
"5227","-2","-2","-2"
"5230","-2","-2","-2"
"5235","-1","-1","-1"
"5247","0","0","0"
"5258","-2","-2","-2"
"5268","-2","-2","-2"
"5271","-3","-3","-3"
"5272","0","0","0"
"5274","0","0","0"
"5278","0","0","0"
"5281","-2","-2","-2"
"5283","2","2","2"
"5297","-3","-3","-3"
"5300","-2","-2","-2"
"5301","-2","-2","-2"
"5302","-2","-2","-2"
"5314","-1","-1","-1"
"5332","-1","-1","-1"
"5340","0","0","0"
"5344","-1","-1","-1"
"5345","3","3","3"
"5348","0","0","0"
"5352","-3","-3","-3"
"5359","1","1","1"
"5360","0","0","0"
"5362","-3","-3","-3"
