"Step","non_det_DDQN_3_100k - total_reward","non_det_DDQN_3_100k - total_reward__MIN","non_det_DDQN_3_100k - total_reward__MAX"
"9955","-2","-2","-2"
"9965","1","1","1"
"9986","-1","-1","-1"
"10001","-2","-2","-2"
"10065","-1","-1","-1"
"10075","1","1","1"
"10097","-2","-2","-2"
"10098","7","7","7"
"10099","0","0","0"
"10104","0","0","0"
"10108","-2","-2","-2"
"10109","-2","-2","-2"
"10110","-2","-2","-2"
"10121","-2","-2","-2"
"10128","-1","-1","-1"
"10139","-2","-2","-2"
"10144","-2","-2","-2"
"10153","-2","-2","-2"
"10159","0","0","0"
"10198","1","1","1"
"10228","0","0","0"
"10244","1","1","1"
"10254","-2","-2","-2"
"10275","-2","-2","-2"
"10276","-2","-2","-2"
"10286","-2","-2","-2"
"10291","0","0","0"
"10297","0","0","0"
"10329","-1","-1","-1"
"10333","-1","-1","-1"
"10352","-2","-2","-2"
"10374","1","1","1"
