"Step","non_det_DDQN_3_100k - win","non_det_DDQN_3_100k - win__MIN","non_det_DDQN_3_100k - win__MAX"
"6637","0","0","0"
"6640","0","0","0"
"6646","0","0","0"
"6648","0","0","0"
"6663","0","0","0"
"6669","0","0","0"
"6674","0","0","0"
"6676","0","0","0"
"6677","0","0","0"
"6681","0","0","0"
"6683","0","0","0"
"6687","0","0","0"
"6715","0","0","0"
"6717","0","0","0"
"6720","0","0","0"
"6730","0","0","0"
"6740","0","0","0"
"6753","0","0","0"
"6769","0","0","0"
"6770","0","0","0"
"6797","0","0","0"
"6799","0","0","0"
"6803","0","0","0"
"6811","0","0","0"
"6813","0","0","0"
"6814","0","0","0"
"6820","0","0","0"
"6821","0","0","0"
"6824","0","0","0"
"6830","0","0","0"
"6834","0","0","0"
"6845","0","0","0"
"6850","0","0","0"
"6883","0","0","0"
"6911","0","0","0"
"6921","0","0","0"
"6925","0","0","0"
"6927","0","0","0"
"6943","0","0","0"
"6948","0","0","0"
"6952","0","0","0"
"6973","0","0","0"
"6979","0","0","0"
"6987","0","0","0"
"6996","0","0","0"
"7003","0","0","0"
"7004","0","0","0"
"7013","0","0","0"
"7025","0","0","0"
"7039","0","0","0"
"7043","0","0","0"
"7048","0","0","0"
"7060","0","0","0"
"7074","0","0","0"
"7091","0","0","0"
"7105","0","0","0"
"7116","0","0","0"
"7154","0","0","0"
"7174","0","0","0"
"7228","0","0","0"
"7231","0","0","0"
"7241","0","0","0"
"7245","0","0","0"
"7248","0","0","0"
"7259","0","0","0"
"7261","0","0","0"
"7273","0","0","0"
"7280","0","0","0"
"7282","0","0","0"
"7302","0","0","0"
"7306","0","0","0"
"7310","0","0","0"
"7312","0","0","0"
"7313","0","0","0"
"7332","0","0","0"
"7338","0","0","0"
"7350","0","0","0"
"7357","0","0","0"
"7359","0","0","0"
"7370","0","0","0"
"7378","0","0","0"
"7385","0","0","0"
"7395","0","0","0"
"7398","0","0","0"
"7414","0","0","0"
"7420","0","0","0"
"7439","0","0","0"
"7441","0","0","0"
"7468","0","0","0"
"7475","0","0","0"
"7492","0","0","0"
"7503","0","0","0"
"7509","0","0","0"
"7542","0","0","0"
"7544","0","0","0"
"7547","0","0","0"
"7556","0","0","0"
"7573","0","0","0"
"7588","0","0","0"
"7593","0","0","0"
"7602","0","0","0"
"7609","0","0","0"
"7621","0","0","0"
"7639","0","0","0"
"7646","0","0","0"
"7653","0","0","0"
"7659","0","0","0"
"7665","0","0","0"
"7687","0","0","0"
"7719","0","0","0"
"7758","0","0","0"
"7771","0","0","0"
"7774","0","0","0"
"7777","0","0","0"
"7783","0","0","0"
"7793","0","0","0"
"7809","0","0","0"
"7832","0","0","0"
"7862","0","0","0"
"7869","0","0","0"
"7874","0","0","0"
"7875","0","0","0"
"7878","0","0","0"
"7887","0","0","0"
"7912","0","0","0"
"7916","0","0","0"
"7945","0","0","0"
"7956","0","0","0"
"7960","0","0","0"
"7966","0","0","0"
"7989","0","0","0"
"7991","0","0","0"
"7992","0","0","0"
"7993","0","0","0"
"8000","0","0","0"
"8015","0","0","0"
"8031","0","0","0"
"8055","0","0","0"
"8058","0","0","0"
"8078","0","0","0"
"8101","0","0","0"
"8120","0","0","0"
"8132","0","0","0"
"8144","0","0","0"
"8152","0","0","0"
"8155","0","0","0"
