"Step","DDQN_good_disc - win","non_det_DDQN_run_1747653794 - win__MIN","non_det_DDQN_run_1747653794 - win__MAX"
"3382","0","0","0"
"3391","0","0","0"
"3393","0","0","0"
"3398","0","0","0"
"3400","0","0","0"
"3403","0","0","0"
"3404","0","0","0"
"3408","0","0","0"
"3412","0","0","0"
"3414","0","0","0"
"3416","0","0","0"
"3418","0","0","0"
"3420","0","0","0"
"3421","0","0","0"
"3454","0","0","0"
"3455","0","0","0"
"3457","0","0","0"
"3459","0","0","0"
"3463","0","0","0"
"3466","0","0","0"
"3469","0","0","0"
"3476","0","0","0"
"3491","0","0","0"
"3495","0","0","0"
"3497","0","0","0"
"3499","0","0","0"
"3505","0","0","0"
"3506","0","0","0"
"3508","0","0","0"
"3518","0","0","0"
"3521","0","0","0"
"3528","0","0","0"
"3530","0","0","0"
"3533","0","0","0"
"3535","0","0","0"
"3538","0","0","0"
"3539","0","0","0"
"3543","0","0","0"
"3563","0","0","0"
"3568","0","0","0"
"3571","0","0","0"
"3572","0","0","0"
"3573","0","0","0"
"3583","0","0","0"
"3586","0","0","0"
"3590","0","0","0"
"3597","0","0","0"
"3606","0","0","0"
"3641","0","0","0"
"3642","0","0","0"
"3650","0","0","0"
"3651","0","0","0"
"3658","0","0","0"
"3659","0","0","0"
"3663","0","0","0"
"3667","0","0","0"
"3669","0","0","0"
"3673","0","0","0"
"3675","0","0","0"
"3681","0","0","0"
"3685","0","0","0"
"3695","0","0","0"
"3696","0","0","0"
"3704","0","0","0"
"3705","0","0","0"
"3706","0","0","0"
"3712","0","0","0"
"3714","0","0","0"
"3715","0","0","0"
"3721","0","0","0"
"3723","0","0","0"
"3725","0","0","0"
"3733","0","0","0"
"3739","0","0","0"
"3745","0","0","0"
"3746","0","0","0"
"3748","0","0","0"
"3765","0","0","0"
"3770","0","0","0"
"3771","0","0","0"
"3777","0","0","0"
"3783","0","0","0"
"3786","0","0","0"
"3789","0","0","0"
"3791","0","0","0"
"3797","0","0","0"
"3806","0","0","0"
"3817","0","0","0"
"3819","0","0","0"
"3820","0","0","0"
"3822","0","0","0"
"3823","0","0","0"
"3827","0","0","0"
"3831","0","0","0"
"3837","0","0","0"
"3847","0","0","0"
"3851","0","0","0"
"3856","0","0","0"
"3862","0","0","0"
"3864","0","0","0"
"3873","0","0","0"
"3874","0","0","0"
"3879","0","0","0"
"3880","0","0","0"
"3889","0","0","0"
"3890","0","0","0"
"3891","0","0","0"
"3901","0","0","0"
"3904","0","0","0"
"3905","0","0","0"
"3907","0","0","0"
"3916","0","0","0"
"3918","0","0","0"
"3919","0","0","0"
"3921","0","0","0"
"3922","0","0","0"
"3932","0","0","0"
"3939","0","0","0"
"3940","0","0","0"
"3946","0","0","0"
"3953","0","0","0"
"3954","0","0","0"
"3957","0","0","0"
"3958","0","0","0"
"3975","0","0","0"
"3979","0","0","0"
"3983","0","0","0"
"3984","0","0","0"
"3987","0","0","0"
"3989","0","0","0"
"3991","0","0","0"
"3992","0","0","0"
"4002","0","0","0"
"4007","0","0","0"
"4010","0","0","0"
"4012","0","0","0"
"4021","0","0","0"
"4025","0","0","0"
"4033","0","0","0"
"4040","0","0","0"
"4049","0","0","0"
"4057","0","0","0"
"4063","0","0","0"
"4066","0","0","0"
"4073","0","0","0"
"4077","0","0","0"
"4078","0","0","0"
"4086","0","0","0"
"4087","0","0","0"
"4088","0","0","0"
"4091","0","0","0"
"4099","0","0","0"
"4100","0","0","0"
"4102","0","0","0"
"4104","0","0","0"
"4106","0","0","0"
"4107","0","0","0"
"4118","0","0","0"
"4121","0","0","0"
"4123","0","0","0"
"4144","0","0","0"
"4147","0","0","0"
"4168","0","0","0"
"4180","0","0","0"
"4188","0","0","0"
"4200","0","0","0"
"4201","0","0","0"
"4204","0","0","0"
"4210","0","0","0"
"4213","0","0","0"
