episode,train_reward,win,roll_mean,roll_std,roll_win
670,3.0,0,,,
671,2.0,0,,,
672,6.0,0,,,
673,-2.0,0,,,
674,1.0,0,,,
675,1.0,0,,,
676,0.0,0,,,
677,-1.0,0,,,
678,-2.0,0,,,
679,0.0,0,,,
680,-2.0,0,,,
681,-1.0,0,,,
682,-1.0,0,,,
683,-2.0,0,,,
684,-2.0,0,,,
685,-2.0,0,,,
686,-1.0,0,,,
687,-2.0,0,,,
688,-2.0,0,,,
689,0.0,0,,,
690,3.0,0,,,
691,0.0,0,,,
692,2.0,0,,,
693,3.0,0,,,
694,0.0,0,,,
695,3.0,0,,,
696,0.0,0,,,
697,-2.0,0,,,
698,-1.0,0,,,
699,-2.0,0,,,
700,-2.0,0,,,
701,1.0,0,,,
702,-2.0,0,,,
703,0.0,0,,,
704,2.0,0,,,
705,-2.0,0,,,
706,0.0,0,,,
707,-1.0,0,,,
708,-2.0,0,,,
709,-2.0,0,,,
710,-2.0,0,,,
711,-1.0,0,,,
712,3.0,0,,,
713,-2.0,0,,,
714,-1.0,0,,,
715,-1.0,0,,,
716,-2.0,0,,,
717,-2.0,0,,,
718,-1.0,0,,,
719,0.0,0,,,
720,-2.0,0,,,
721,-1.0,0,,,
722,-2.0,0,,,
723,-2.0,0,,,
724,-2.0,0,,,
725,-2.0,0,,,
726,5.0,0,,,
727,-2.0,0,,,
728,0.0,0,,,
729,-2.0,0,,,
730,-1.0,0,,,
731,-2.0,0,,,
732,4.0,0,,,
733,2.0,0,,,
734,-2.0,0,,,
735,2.0,0,,,
736,-2.0,0,,,
737,-1.0,0,,,
738,-1.0,0,,,
739,-2.0,0,,,
740,-2.0,0,,,
741,-1.0,0,,,
742,1.0,0,,,
743,-2.0,0,,,
744,-2.0,0,,,
745,-1.0,0,,,
746,-2.0,0,,,
747,4.0,0,,,
748,0.0,0,,,
749,1.0,0,,,
750,-2.0,0,,,
751,-2.0,0,,,
752,-1.0,0,,,
753,-2.0,0,,,
754,-2.0,0,,,
755,-2.0,0,,,
756,-1.0,0,,,
757,-2.0,0,,,
758,-1.0,0,,,
759,3.0,0,,,
760,-2.0,0,,,
761,-2.0,0,,,
762,2.0,0,,,
763,2.0,0,,,
764,-2.0,0,,,
765,0.0,0,,,
766,-2.0,0,,,
767,-2.0,0,,,
768,-1.0,0,,,
769,2.0,0,,,
770,-2.0,0,,,
771,-2.0,0,,,
772,-2.0,0,,,
773,1.0,0,,,
774,-2.0,0,,,
775,-2.0,0,,,
776,-1.0,0,,,
777,-2.0,0,,,
778,2.0,0,,,
779,0.0,0,,,
780,-1.0,0,,,
781,1.0,0,,,
782,-2.0,0,,,
783,-2.0,0,,,
784,-2.0,0,,,
785,1.0,0,,,
786,1.0,0,,,
787,-1.0,0,,,
788,-1.0,0,,,
789,-1.0,0,,,
790,-2.0,0,,,
791,-1.0,0,,,
792,8.0,0,,,
793,0.0,0,,,
794,-1.0,0,,,
795,0.0,0,,,
796,-2.0,0,,,
797,1.0,0,,,
798,-2.0,0,,,
799,-2.0,0,,,
800,-1.0,0,,,
801,-1.0,0,,,
802,-2.0,0,,,
803,-1.0,0,,,
804,-1.0,0,,,
805,-2.0,0,,,
806,-1.0,0,,,
807,0.0,0,,,
808,-2.0,0,,,
809,-2.0,0,,,
810,0.0,0,,,
811,1.0,0,,,
812,-1.0,0,,,
813,-1.0,0,,,
814,0.0,0,,,
815,-1.0,0,,,
816,1.0,0,,,
817,-2.0,0,,,
818,-1.0,0,,,
819,0.0,0,,,
820,3.0,0,,,
821,-2.0,0,,,
822,-1.0,0,,,
823,-1.0,0,,,
824,3.0,0,,,
825,0.0,0,,,
826,-1.0,0,,,
827,-2.0,0,,,
828,-2.0,0,,,
829,-2.0,0,,,
830,1.0,0,,,
831,-2.0,0,,,
832,-1.0,0,,,
833,0.0,0,,,
834,-1.0,0,,,
835,0.0,0,,,
836,-1.0,0,,,
837,-2.0,0,,,
838,1.0,0,,,
839,-2.0,0,,,
840,0.0,0,,,
841,-2.0,0,,,
842,-2.0,0,,,
843,-2.0,0,,,
844,0.0,0,,,
845,-1.0,0,,,
846,-2.0,0,,,
847,1.0,0,,,
848,-1.0,0,,,
849,0.0,0,,,
850,0.0,0,,,
851,1.0,0,,,
852,-2.0,0,,,
853,-2.0,0,,,
854,-2.0,0,,,
855,1.0,0,,,
856,-2.0,0,,,
857,-2.0,0,,,
858,-2.0,0,,,
859,-2.0,0,,,
860,-1.0,0,,,
861,-1.0,0,,,
862,-2.0,0,,,
863,-2.0,0,,,
864,0.0,0,,,
865,1.0,0,,,
866,0.0,0,,,
867,-2.0,0,,,
868,1.0,0,,,
869,-2.0,0,,,
870,4.0,0,,,
871,2.0,0,,,
872,3.0,0,,,
873,-2.0,0,,,
874,-2.0,0,,,
875,-1.0,0,,,
876,0.0,0,,,
877,-2.0,0,,,
878,-2.0,0,,,
879,-1.0,0,,,
880,-2.0,0,,,
881,-2.0,0,,,
882,-2.0,0,,,
883,-2.0,0,,,
884,1.0,0,,,
885,-1.0,0,,,
886,0.0,0,,,
887,-2.0,0,,,
888,-2.0,0,,,
889,2.0,0,,,
890,-1.0,0,,,
891,1.0,0,,,
892,1.0,0,,,
893,-1.0,0,,,
894,9.0,0,,,
895,-2.0,0,,,
896,-1.0,0,,,
897,0.0,0,,,
898,-1.0,0,,,
899,-2.0,0,,,
900,-2.0,0,,,
901,-1.0,0,,,
902,0.0,0,,,
903,1.0,0,,,
904,-2.0,0,,,
905,0.0,0,,,
906,4.0,0,,,
907,4.0,0,,,
908,2.0,0,,,
909,-1.0,0,,,
910,-2.0,0,,,
911,1.0,0,,,
912,-1.0,0,,,
913,-1.0,0,,,
914,-2.0,0,,,
915,0.0,0,,,
916,-2.0,0,,,
917,-2.0,0,,,
918,-2.0,0,,,
919,0.0,0,,,
920,-2.0,0,,,
921,-1.0,0,,,
922,-2.0,0,,,
923,0.0,0,,,
924,0.0,0,,,
925,-2.0,0,,,
926,-2.0,0,,,
927,-2.0,0,,,
928,-2.0,0,,,
929,-2.0,0,,,
930,2.0,0,,,
931,8.0,0,,,
932,-2.0,0,,,
933,2.0,0,,,
934,-1.0,0,,,
935,3.0,0,,,
936,-2.0,0,,,
937,0.0,0,,,
938,-2.0,0,,,
939,-2.0,0,,,
940,-2.0,0,,,
941,-1.0,0,,,
942,3.0,0,,,
943,2.0,0,,,
944,0.0,0,,,
945,0.0,0,,,
946,-1.0,0,,,
947,0.0,0,,,
948,0.0,0,,,
949,-2.0,0,,,
950,-2.0,0,,,
951,-2.0,0,,,
952,3.0,0,,,
953,-1.0,0,,,
954,1.0,0,,,
955,-1.0,0,,,
956,-1.0,0,,,
957,-2.0,0,,,
958,0.0,0,,,
959,-2.0,0,,,
960,3.0,0,,,
961,-2.0,0,,,
962,-1.0,0,,,
963,3.0,0,,,
964,-2.0,0,,,
965,-2.0,0,,,
966,-2.0,0,,,
967,-1.0,0,,,
968,-1.0,0,,,
969,-2.0,0,,,
970,-2.0,0,,,
971,-2.0,0,,,
972,-1.0,0,,,
973,-2.0,0,,,
974,-2.0,0,,,
975,0.0,0,,,
976,-2.0,0,,,
977,0.0,0,,,
978,-2.0,0,,,
979,0.0,0,,,
980,-2.0,0,,,
981,-2.0,0,,,
982,1.0,0,,,
983,-2.0,0,,,
984,-2.0,0,,,
985,-2.0,0,,,
986,-2.0,0,,,
987,-2.0,0,,,
988,-1.0,0,,,
989,-1.0,0,,,
990,-1.0,0,,,
991,-2.0,0,,,
992,-1.0,0,,,
993,0.0,0,,,
994,0.0,0,,,
995,-2.0,0,,,
996,-2.0,0,,,
997,1.0,0,,,
998,-2.0,0,,,
999,-2.0,0,,,
1000,-2.0,0,,,
1001,6.0,0,,,
1002,-2.0,0,,,
1003,-1.0,0,,,
1004,-2.0,0,,,
1005,0.0,0,,,
1006,-1.0,0,,,
1007,0.0,0,,,
1008,-2.0,0,,,
1009,5.0,0,,,
1010,-2.0,0,,,
1011,1.0,0,,,
1012,3.0,0,,,
1013,-2.0,0,,,
1014,-2.0,0,,,
1015,-2.0,0,,,
1016,-1.0,0,,,
1017,-1.0,0,,,
1018,-2.0,0,,,
1019,-2.0,0,,,
1020,-2.0,0,,,
1021,-1.0,0,,,
1022,-1.0,0,,,
1023,-2.0,0,,,
1024,-1.0,0,,,
1025,-1.0,0,,,
1026,-1.0,0,,,
1027,-1.0,0,,,
1028,7.0,0,,,
1029,-2.0,0,,,
1030,4.0,0,,,
1031,-2.0,0,,,
1032,0.0,0,,,
1033,0.0,0,,,
1034,-2.0,0,,,
1035,4.0,0,,,
1036,-1.0,0,,,
1037,3.0,0,,,
1038,-2.0,0,,,
1039,-2.0,0,,,
1040,-2.0,0,,,
1041,-2.0,0,,,
1042,-2.0,0,,,
1043,-2.0,0,,,
1044,-1.0,0,,,
1045,-2.0,0,,,
1046,-1.0,0,,,
1047,-2.0,0,,,
1048,-2.0,0,,,
1049,0.0,0,,,
1050,1.0,0,,,
1051,-2.0,0,,,
1052,-2.0,0,,,
1053,-2.0,0,,,
1054,-1.0,0,,,
1055,1.0,0,,,
1056,-2.0,0,,,
1057,-2.0,0,,,
1058,-2.0,0,,,
1059,-2.0,0,,,
1060,-1.0,0,,,
1061,-1.0,0,,,
1062,-2.0,0,,,
1063,-2.0,0,,,
1064,1.0,0,,,
1065,-2.0,0,,,
1066,0.0,0,,,
1067,-2.0,0,,,
1068,-1.0,0,,,
1069,3.0,0,,,
1070,-2.0,0,,,
1071,3.0,0,,,
1072,4.0,0,,,
1073,-2.0,0,,,
1074,-2.0,0,,,
1075,1.0,0,,,
1076,-1.0,0,,,
1077,-2.0,0,,,
1078,2.0,0,,,
1079,-1.0,0,,,
1080,-2.0,0,,,
1081,0.0,0,,,
1082,-1.0,0,,,
1083,-2.0,0,,,
1084,-1.0,0,,,
1085,4.0,0,,,
1086,0.0,0,,,
1087,-1.0,0,,,
1088,0.0,0,,,
1089,1.0,0,,,
1090,0.0,0,,,
1091,0.0,0,,,
1092,0.0,0,,,
1093,-2.0,0,,,
1094,-1.0,0,,,
1095,-2.0,0,,,
1096,1.0,0,,,
1097,-1.0,0,,,
1098,-2.0,0,,,
1099,-2.0,0,,,
1100,-2.0,0,,,
1101,-2.0,0,,,
1102,-2.0,0,,,
1103,0.0,0,,,
1104,-2.0,0,,,
1105,-2.0,0,,,
1106,-2.0,0,,,
1107,-2.0,0,,,
1108,-2.0,0,,,
1109,-2.0,0,,,
1110,-1.0,0,,,
1111,-2.0,0,,,
1112,0.0,0,,,
1113,0.0,0,,,
1114,-2.0,0,,,
1115,0.0,0,,,
1116,1.0,0,,,
1117,1.0,0,,,
1118,0.0,0,,,
1119,0.0,0,,,
1120,-2.0,0,,,
1121,-2.0,0,,,
1122,0.0,0,,,
1123,-2.0,0,,,
1124,-2.0,0,,,
1125,-1.0,0,,,
1126,-2.0,0,,,
1127,-2.0,0,,,
1128,3.0,0,,,
1129,-2.0,0,,,
1130,1.0,0,,,
1131,-2.0,0,,,
1132,-2.0,0,,,
1133,-2.0,0,,,
1134,0.0,0,,,
1135,-2.0,0,,,
1136,-2.0,0,,,
1137,-2.0,0,,,
1138,0.0,0,,,
1139,0.0,0,,,
1140,2.0,0,,,
1141,0.0,0,,,
1142,0.0,0,,,
1143,-2.0,0,,,
1144,3.0,0,,,
1145,2.0,0,,,
1146,0.0,0,,,
1147,-2.0,0,,,
1148,-1.0,0,,,
1149,-2.0,0,,,
1150,-2.0,0,,,
1151,-2.0,0,,,
1152,-2.0,0,,,
1153,-2.0,0,,,
1154,-2.0,0,,,
1155,-2.0,0,,,
1156,11.0,0,,,
1157,-1.0,0,,,
1158,-1.0,0,,,
1159,-2.0,0,,,
1160,-2.0,0,,,
1161,5.0,0,,,
1162,-2.0,0,,,
1163,6.0,0,,,
1164,-2.0,0,,,
1165,-2.0,0,,,
1166,5.0,0,,,
1167,-1.0,0,,,
1168,-1.0,0,,,
1169,-1.0,0,,,
1170,-2.0,0,,,
1171,-1.0,0,,,
1172,2.0,0,,,
1173,-2.0,0,,,
1174,-2.0,0,,,
