"Step","DQN_good_disc - total_reward","non_Det_DQN_discounted_run_1747653690 - total_reward__MIN","non_Det_DQN_discounted_run_1747653690 - total_reward__MAX"
"3879","-2","-2","-2"
"3882","5","5","5"
"3886","-1","-1","-1"
"3888","-2","-2","-2"
"3905","-1","-1","-1"
"3914","-1","-1","-1"
"3919","-1","-1","-1"
"3921","3","3","3"
"3931","3","3","3"
"3932","2","2","2"
"3939","3","3","3"
"3941","-2","-2","-2"
"3943","-1","-1","-1"
"3952","1","1","1"
"3953","-2","-2","-2"
"3954","-1","-1","-1"
"3960","-1","-1","-1"
"3962","0","0","0"
"3963","-2","-2","-2"
"3966","-2","-2","-2"
"3967","2","2","2"
"3975","1","1","1"
"3984","-2","-2","-2"
"3990","-2","-2","-2"
"4006","-2","-2","-2"
"4013","-2","-2","-2"
"4016","0","0","0"
"4017","3","3","3"
"4030","-1","-1","-1"
"4032","-1","-1","-1"
"4033","0","0","0"
"4039","-1","-1","-1"
"4042","-2","-2","-2"
"4043","-2","-2","-2"
"4061","-1","-1","-1"
"4062","-2","-2","-2"
"4063","1","1","1"
"4064","-2","-2","-2"
"4068","-2","-2","-2"
"4081","-1","-1","-1"
"4083","-1","-1","-1"
"4101","0","0","0"
"4102","-2","-2","-2"
"4103","0","0","0"
"4110","0","0","0"
"4114","-1","-1","-1"
"4119","2","2","2"
"4123","-2","-2","-2"
"4126","-2","-2","-2"
"4129","-2","-2","-2"
"4135","-2","-2","-2"
"4136","-1","-1","-1"
"4137","-2","-2","-2"
"4145","2","2","2"
"4149","-2","-2","-2"
"4157","-1","-1","-1"
"4158","3","3","3"
"4168","-2","-2","-2"
"4172","1","1","1"
"4176","-2","-2","-2"
"4181","4","4","4"
"4187","-1","-1","-1"
"4195","-2","-2","-2"
"4197","-2","-2","-2"
"4202","0","0","0"
"4215","-2","-2","-2"
"4225","1","1","1"
"4226","8","8","8"
"4230","-2","-2","-2"
"4231","0","0","0"
"4232","0","0","0"
"4246","1","1","1"
"4251","-2","-2","-2"
"4256","3","3","3"
"4261","0","0","0"
"4264","-1","-1","-1"
"4265","-1","-1","-1"
"4272","0","0","0"
"4278","-2","-2","-2"
"4300","-2","-2","-2"
"4303","0","0","0"
"4305","-2","-2","-2"
"4306","-2","-2","-2"
"4309","-2","-2","-2"
"4311","-1","-1","-1"
"4316","4","4","4"
"4326","-2","-2","-2"
"4332","-2","-2","-2"
"4333","0","0","0"
"4338","-2","-2","-2"
"4339","-1","-1","-1"
"4343","-2","-2","-2"
"4347","-1","-1","-1"
"4349","-1","-1","-1"
"4350","-1","-1","-1"
"4358","2","2","2"
"4363","-2","-2","-2"
"4365","0","0","0"
"4367","-2","-2","-2"
"4368","-2","-2","-2"
"4370","-2","-2","-2"
"4377","-2","-2","-2"
"4378","-2","-2","-2"
"4379","-2","-2","-2"
"4384","-2","-2","-2"
"4386","-1","-1","-1"
"4397","-2","-2","-2"
"4400","-2","-2","-2"
"4401","-2","-2","-2"
"4403","0","0","0"
"4410","-1","-1","-1"
"4433","5","5","5"
"4444","-1","-1","-1"
"4456","-2","-2","-2"
"4462","0","0","0"
"4465","-2","-2","-2"
"4467","-2","-2","-2"
"4471","-2","-2","-2"
"4473","-2","-2","-2"
"4474","0","0","0"
"4477","0","0","0"
"4480","0","0","0"
"4485","-2","-2","-2"
"4507","1","1","1"
"4508","-2","-2","-2"
"4518","-2","-2","-2"
"4527","-2","-2","-2"
"4529","-1","-1","-1"
"4530","-2","-2","-2"
"4532","0","0","0"
"4536","0","0","0"
"4545","-2","-2","-2"
"4554","-2","-2","-2"
"4561","2","2","2"
"4568","3","3","3"
"4573","2","2","2"
"4574","-2","-2","-2"
"4575","1","1","1"
"4578","-1","-1","-1"
"4583","-2","-2","-2"
"4586","4","4","4"
"4588","2","2","2"
"4589","-2","-2","-2"
"4594","-2","-2","-2"
"4600","-1","-1","-1"
"4604","-1","-1","-1"
"4606","-2","-2","-2"
"4607","0","0","0"
"4609","0","0","0"
"4618","-2","-2","-2"
"4619","-2","-2","-2"
"4625","-2","-2","-2"
"4626","2","2","2"
"4641","0","0","0"
"4647","-1","-1","-1"
"4648","-2","-2","-2"
"4649","-1","-1","-1"
"4650","-1","-1","-1"
"4651","-2","-2","-2"
"4654","4","4","4"
"4657","0","0","0"
"4662","3","3","3"
"4671","-2","-2","-2"
"4676","2","2","2"
"4681","-2","-2","-2"
"4692","-2","-2","-2"
"4694","1","1","1"
"4696","0","0","0"
"4718","-1","-1","-1"
"4723","1","1","1"
"4724","-2","-2","-2"
"4732","-2","-2","-2"
"4733","-1","-1","-1"
"4734","1","1","1"
"4740","2","2","2"
