"Step","DQN_good_disc - win","non_Det_DQN_discounted_run_1747653690 - win__MIN","non_Det_DQN_discounted_run_1747653690 - win__MAX"
"4953","0","0","0"
"4956","0","0","0"
"4960","0","0","0"
"4973","0","0","0"
"4974","0","0","0"
"4978","0","0","0"
"4986","0","0","0"
"4987","0","0","0"
"4988","0","0","0"
"4997","0","0","0"
"4998","0","0","0"
"5009","0","0","0"
"5011","0","0","0"
"5024","0","0","0"
"5025","0","0","0"
"5032","0","0","0"
"5034","0","0","0"
"5036","0","0","0"
"5039","0","0","0"
"5041","0","0","0"
"5045","0","0","0"
"5057","0","0","0"
"5064","0","0","0"
"5065","0","0","0"
"5073","0","0","0"
"5075","0","0","0"
"5079","0","0","0"
"5082","0","0","0"
"5085","0","0","0"
"5094","0","0","0"
"5095","0","0","0"
"5106","0","0","0"
"5109","0","0","0"
"5126","0","0","0"
"5130","0","0","0"
"5133","0","0","0"
"5136","0","0","0"
"5138","0","0","0"
"5139","0","0","0"
"5150","0","0","0"
"5152","0","0","0"
"5158","0","0","0"
"5159","0","0","0"
"5166","0","0","0"
"5187","0","0","0"
"5189","0","0","0"
"5190","0","0","0"
"5212","0","0","0"
"5215","0","0","0"
"5220","0","0","0"
"5222","0","0","0"
"5229","0","0","0"
"5236","0","0","0"
"5240","0","0","0"
"5250","0","0","0"
"5252","0","0","0"
"5253","0","0","0"
"5259","0","0","0"
"5260","0","0","0"
"5265","0","0","0"
"5270","0","0","0"
"5275","0","0","0"
"5291","0","0","0"
"5292","0","0","0"
"5295","0","0","0"
"5296","0","0","0"
"5297","0","0","0"
"5306","0","0","0"
"5315","0","0","0"
"5320","0","0","0"
"5321","0","0","0"
"5332","0","0","0"
"5346","0","0","0"
"5349","0","0","0"
"5352","0","0","0"
"5353","0","0","0"
"5368","0","0","0"
"5371","0","0","0"
"5386","0","0","0"
"5388","0","0","0"
"5391","0","0","0"
"5393","0","0","0"
"5401","0","0","0"
"5402","0","0","0"
"5404","0","0","0"
"5409","0","0","0"
"5412","0","0","0"
"5413","0","0","0"
"5415","0","0","0"
"5416","0","0","0"
"5418","0","0","0"
"5419","0","0","0"
"5433","0","0","0"
"5439","0","0","0"
"5445","0","0","0"
"5453","0","0","0"
"5457","0","0","0"
"5459","0","0","0"
"5460","0","0","0"
"5466","0","0","0"
"5467","0","0","0"
"5472","0","0","0"
"5474","0","0","0"
"5478","0","0","0"
"5480","0","0","0"
"5481","0","0","0"
"5486","0","0","0"
"5488","0","0","0"
