"Step","DDQN_run_1747573335 - total_reward","DDQN_run_1747573335 - total_reward__MIN","DDQN_run_1747573335 - total_reward__MAX"
"3780","1","1","1"
"3786","-2","-2","-2"
"3787","0","0","0"
"3790","2","2","2"
"3794","-2","-2","-2"
"3800","0","0","0"
"3804","0","0","0"
"3805","-3","-3","-3"
"3807","-1","-1","-1"
"3811","0","0","0"
"3816","-3","-3","-3"
"3822","2","2","2"
"3827","0","0","0"
"3834","1","1","1"
"3836","-3","-3","-3"
"3840","1","1","1"
"3842","3","3","3"
"3849","-3","-3","-3"
"3864","-2","-2","-2"
"3865","-3","-3","-3"
"3866","1","1","1"
"3868","-1","-1","-1"
"3878","-2","-2","-2"
"3879","-3","-3","-3"
"3880","1","1","1"
"3884","-3","-3","-3"
"3898","-3","-3","-3"
"3903","-2","-2","-2"
"3906","-3","-3","-3"
"3908","-1","-1","-1"
"3912","-2","-2","-2"
"3913","-1","-1","-1"
"3914","-1","-1","-1"
"3916","-3","-3","-3"
"3922","-3","-3","-3"
"3925","-1","-1","-1"
"3927","-2","-2","-2"
"3934","3","3","3"
"3940","-1","-1","-1"
"3947","-3","-3","-3"
"3967","-3","-3","-3"
"3968","-2","-2","-2"
"3976","-1","-1","-1"
"3977","3","3","3"
"3991","0","0","0"
"3997","-3","-3","-3"
"4010","6","6","6"
"4011","-2","-2","-2"
"4012","5","5","5"
"4018","-2","-2","-2"
"4023","-3","-3","-3"
"4025","-2","-2","-2"
"4029","1","1","1"
"4033","-2","-2","-2"
"4043","-3","-3","-3"
"4045","-2","-2","-2"
"4050","-3","-3","-3"
"4057","-2","-2","-2"
"4059","-2","-2","-2"
"4062","4","4","4"
"4075","-2","-2","-2"
"4076","0","0","0"
"4077","-2","-2","-2"
"4078","-3","-3","-3"
"4083","-2","-2","-2"
"4094","-2","-2","-2"
"4095","-2","-2","-2"
"4096","3","3","3"
"4105","-1","-1","-1"
"4108","-2","-2","-2"
"4110","-2","-2","-2"
"4111","-2","-2","-2"
"4113","-3","-3","-3"
"4119","-1","-1","-1"
"4123","3","3","3"
"4125","4","4","4"
"4134","5","5","5"
"4143","-1","-1","-1"
"4159","4","4","4"
"4176","-3","-3","-3"
"4187","-2","-2","-2"
"4198","-2","-2","-2"
"4210","-1","-1","-1"
"4214","5","5","5"
"4223","-1","-1","-1"
"4233","-3","-3","-3"
"4245","0","0","0"
"4247","-2","-2","-2"
"4249","-3","-3","-3"
"4252","7","7","7"
"4260","-2","-2","-2"
"4266","0","0","0"
"4272","-1","-1","-1"
"4274","-1","-1","-1"
"4275","1","1","1"
"4279","3","3","3"
"4285","2","2","2"
"4286","-2","-2","-2"
"4290","0","0","0"
"4295","0","0","0"
"4297","-2","-2","-2"
"4302","-1","-1","-1"
"4304","-3","-3","-3"
"4306","1","1","1"
"4307","-3","-3","-3"
"4312","-2","-2","-2"
"4314","1","1","1"
"4321","-2","-2","-2"
"4332","0","0","0"
"4334","1","1","1"
"4336","2","2","2"
"4347","-2","-2","-2"
"4349","5","5","5"
"4351","-2","-2","-2"
"4354","-2","-2","-2"
"4356","1","1","1"
"4360","1","1","1"
"4363","0","0","0"
"4365","-1","-1","-1"
"4368","-1","-1","-1"
"4380","0","0","0"
"4384","-2","-2","-2"
"4385","-1","-1","-1"
"4388","0","0","0"
"4393","0","0","0"
